"","last.name","first.name","age","birth.year","sex","city","state","place","num.days","season.num","season.name","location","winner","second","third","name"
"1","Christopher","Sonja",63,1937,"female","Walnut Creek","California",16,3,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Sonja Christopher"
"2","Andersen","B.B.",64,1936,"unknown","Mission Hills","Kansas",15,6,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","B.B. Andersen"
"3","Stillman","Stacey",27,1973,"female","San Francisco","California",14,9,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Stacey Stillman"
"4","Gray","Ramona",29,1971,"female","Edison","New Jersey",13,12,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Ramona Gray"
"5","Been","Dirk",23,1977,"male","Spring Green","Wisconsin",12,15,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Dirk Been"
"6","Klug","Joel",27,1973,"male","Sherwood","Arkansas",11,18,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Joel Klug"
"7","Cordy","Gretchen",38,1962,"female","Clarksville","Tennessee",10,21,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Gretchen Cordy"
"8","Buis","Greg",24,1976,"male","Gold Hill","Colorado",9,24,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Greg Buis"
"9","Lewis","Jenna",22,1978,"female","Franklin","New Hampshire",8,27,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Jenna Lewis"
"10","Peterson","Gervase",30,1970,"unknown","Peterson","New Jersey",7,30,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Gervase Peterson"
"11","Haskell","Colleen",23,1977,"female","Miami Beach","Florida",6,33,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Colleen Haskell"
"12","Kenniff","Sean",30,1970,"male","Kenniff","New York",5,36,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Sean Kenniff"
"13","Hawk","Susan",38,1962,"female","Palmyra","Wisconsin",4,37,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Susan Hawk"
"14","Boesch","Rudy",72,1928,"male","Virginia Beach","Virginia",3,38,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Rudy Boesch"
"15","Wiglesworth","Kelly",22,1978,"female","Kernville","Nevada",2,40,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Kelly Wiglesworth"
"16","Hatch","Richard",39,1961,"male","Newport","Rhode Island",1,40,1,"Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Richard Hatch","Kelly Wiglesworth","Kelly Wiglesworth","Richard Hatch"
"17","Eaton","Debb",45,1956,"unknown","Milan","New Hampshire",16,3,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Debb Eaton"
"18","Gleason","Kel",32,1969,"male","Fort Hood","Texas",15,6,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Kel Gleason"
"19","Hershey","Maralyn",51,1950,"female","Wakefield","Virginia",14,9,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Maralyn Hershey"
"20","Olson","Mitchell",23,1978,"male","Union City","New Jersey",13,12,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Mitchell Olson"
"21","Kappenberg","Kimmi",27,1974,"unknown","Ronkonkoma","New York",12,15,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Kimmi Kappenberg"
"22","Skupin","Michael",38,1963,"male","White Lake","Michigan",11,17,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Michael Skupin"
"23","Varner","Jeff",34,1967,"male","Greensboro","North Carolina",10,21,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Jeff Varner"
"24","Calaway","Alicia",32,1969,"female","New York City","New York",9,24,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Alicia Calaway"
"25","Manthey","Jerri",30,1971,"female","Manthey","California",8,27,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Jerri Manthey"
"26","Brown","Nick",23,1978,"male","Steilacoom","Washington",7,30,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Nick Brown"
"27","Brkich","Amber",22,1979,"female","Beaver","Pennsylvania",6,33,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Amber Brkich"
"28","Bingham","Rodger",53,1948,"male","Crittenden","Kentucky",5,36,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Rodger Bingham"
"29","Filarski","Elisabeth",23,1978,"female","Boston","Massachusetts",4,39,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Elisabeth Filarski"
"30","Famie","Keith",40,1961,"male","Famie","Michigan",3,41,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Keith Famie"
"31","Donaldson","Colby",26,1975,"male","Dallas","Texas",2,40,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Colby Donaldson"
"32","Wesson","Tina",40,1961,"female","Wesson","Tennessee",1,40,2,"Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Tina Wesson","Colby Donaldson","Colby Donaldson","Tina Wesson"
"33","Ogden","Diane",42,1959,"female","Lincoln","Nebraska",16,3,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Diane Ogden"
"34","Camacho","Jessie",26,1975,"male","Orlando","Florida",15,6,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Jessie Camacho"
"35","Bilancione","Carl",46,1955,"male","Winter Springs","Florida",14,9,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Carl Bilancione"
"36","Spencer","Linda",44,1957,"female","Cambridge","Massachusetts",13,12,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Linda Spencer"
"37","Gaither","Silas",23,1978,"male","Germantown","Tennessee",12,15,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Silas Gaither"
"38","Richter","Lindsey",26,1975,"female","Portland","Oregon",11,18,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Lindsey Richter"
"39","Black","Clarence",24,1977,"male","Detroit","Michigan",10,21,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Clarence Black"
"40","Goldsmith","Kelly",22,1979,"female","Rancho Santa Fe","California",9,24,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Kelly Goldsmith"
"41","Quinton","Brandon",25,1976,"male","Dallas","Texas",8,27,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Brandon Quinton"
"42","Garrison","Frank",43,1958,"male","Odessa","New York",7,30,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Frank Garrison"
"43","Powers","Kim",29,1972,"female","Conshohocken","Pennsylvania",6,33,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Kim Powers"
"44","Cooper","Teresa",42,1959,"female","Jackson","Georgia",5,36,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Teresa Cooper"
"45","Buchanan","Tom",45,1956,"male","Rich Valley","Virginia",4,37,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Tom Buchanan"
"46","van den Berghe","Lex",38,1963,"male","Santa Cruz","California",3,38,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Lex van den Berghe"
"47","Johnson","Kim",56,1945,"male","Oyster Bay","New York",2,40,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Kim Johnson"
"48","Zohn","Ethan",27,1974,"male","Lexington","Massachusetts",1,40,3,"Survivor: Africa","Shaba National Reserve, Kenya[9]","Ethan Zohn","Kim Johnson","Kim Johnson","Ethan Zohn"
"49","Harkey","Peter",44,1958,"male","Millis","Massachusetts",16,3,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Peter Harkey"
"50","Jackson","Patricia",49,1953,"female","Lugoff","South Carolina",15,6,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Patricia Jackson"
"51","Ellis","Hunter",33,1969,"male","La Jolla","California",14,9,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Hunter Ellis"
"52","Jones","Sarah",24,1978,"female","Newport Beach","California",13,12,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Sarah Jones"
"53","Cade","Gabriel",23,1979,"male","Celo","North Carolina",12,15,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Gabriel Cade"
"54","Crews","Gina",28,1974,"female","Gainesville","Florida",11,18,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Gina Crews"
"55","Mariano","Rob",25,1977,"male","Canton","Massachusetts",10,21,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Rob Mariano"
"56","Carroll","John",36,1966,"male","Omaha","Nebraska",9,24,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","John Carroll"
"57","Zanidakis","Zoe",35,1967,"female","Monhegan","Maine",8,27,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Zoe Zanidakis"
"58","Leitner","Tammy",29,1973,"female","Mesa","Arizona",7,30,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Tammy Leitner"
"59","DeCanio","Robert",38,1964,"male","Queens","New York",6,33,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Robert DeCanio"
"60","Rector","Sean",30,1972,"male","Rector","New York",5,36,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Sean Rector"
"61","English","Paschal",56,1946,"male","Thomaston","Georgia",4,37,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Paschal English"
"62","Vavrick-O'Brien","Kathy",46,1956,"female","Burlington","Vermont",3,38,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Kathy Vavrick-O'Brien"
"63","Dennis","Neleh",21,1981,"unknown","Layton","Utah",2,40,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Neleh Dennis"
"64","Towery","Vecepia",36,1966,"unknown","Portland","Oregon",1,40,4,"Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","Vecepia Towery","Neleh Dennis","Neleh Dennis","Vecepia Towery"
"65","Raymond","John",40,1962,"male","Raymond","Louisiana",16,3,5,"Survivor: Thailand","Ko Tarutao, Satun Province, Thailand","Brian Heidik","Clay Jordan","Clay Jordan","John Raymond"
